userid,projectid,date,logicalScore
63ba8019471674001a3a7456,63cf96d5c506b3004bfe7209,2023-01-27,40.11
63ba8019471674001a3a7456,63cfcc83171754004a957486,2023-01-24,40.8
63ba8019471674001a3a7456,63cfecd97d0ae9002ba27eb2,2023-02-06,43.49
63ba8019471674001a3a7456,63d3b2240022db005ca4f967,2023-03-05,40.66
63ba8019471674001a3a7456,63d67cd6f802b90025978467,2023-01-29,33.33
6296f2aeba256000d93d4ccf,63d885fecc8a80006e1e7713,2023-01-31,34.6
63ba8019471674001a3a7456,63ea3c0f8e88c60037914acc,2023-02-13,25.0
62b910c05382d30037ccad4c,63eafbf729168e009283cf17,2023-02-14,35.26
62b910c05382d30037ccad4c,63eafe065a6f2c0108efbbae,2023-02-14,30.92
63ba8019471674001a3a7456,63ee2933f8eb8a05cd30bef9,2023-02-23,43.43
62b910c05382d30037ccad4c,63f16f1f4bb409001a56e45f,2023-02-20,37.82
62b910c05382d30037ccad4c,63f17718b32bb100257a608c,2023-02-19,29.17
62b910c05382d30037ccad4c,63f178d41d89000025c43a3f,2023-02-19,33.47
62b910c05382d30037ccad4c,63f1796324636a003738020e,2023-02-26,36.68
63ba8019471674001a3a7456,63f21705a3150d00255e119f,2023-02-19,33.33
63ba8019471674001a3a7456,63f21eba5c19170025c42f64,2023-02-19,34.0
62b910c05382d30037ccad4c,63f2dfc29d934900379eafa2,2023-02-20,37.01
62de387d042c4e03aab35a8b,63f44e8f2412e900253203d4,2023-02-21,30.0
62de387d042c4e03aab35a8b,63f6c77784620a002ceb35e5,2023-02-23,38.6
62de387d042c4e03aab35a8b,63f893e9cb78fa002ca54587,2023-02-24,39.25
62de387d042c4e03aab35a8b,63f89cced0da66001a2d0761,2023-02-24,38.89
62b910c05382d30037ccad4c,63faafebf51ca8004aeb279a,2023-02-26,29.03
62de387d042c4e03aab35a8b,63fd89ee74fccd00373c2c78,2023-03-01,40.96
63ba8019471674001a3a7456,63ff4b61dbb594004a20fcc4,2023-03-06,46.39
62de387d042c4e03aab35a8b,6401d936b838f9007af8b664,2023-03-10,36.03
63ba8019471674001a3a7456,6405e344666510001a4d463a,2023-03-06,46.39
63ba8019471674001a3a7456,6406e41dd0e513259230264c,2023-03-20,46.63
63ba8019471674001a3a7456,64180d0fc19139005005ed7e,2023-03-20,46.63
63ba8019471674001a3a7456,64184fe5727f7800fd64e627,2023-03-22,46.46
63ba8019471674001a3a7456,641b00615da36901f0507389,2023-03-22,35.0
63ba8019471674001a3a7456,641c4a1bf2adc61e256c7b31,2023-03-28,46.39
63ba8019471674001a3a7456,6429715f64991e004b2b9915,2023-04-02,41.77
63ba8019471674001a3a7456,6429886cbfeba2007b9b852d,2023-05-26,46.0
62de387d042c4e03aab35a8b,644139e2f76a79001abfcbee,2023-04-20,42.48
62dbf1b2e7277c03b6153ee6,644b17a875600b002ce88a55,2023-04-28,25.0
62b910c05382d30037ccad4c,645a05fae15bd90074ee379c,2023-05-09,33.02
63ba8019471674001a3a7456,647347891603b1001ae5e1d1,2023-07-19,44.29
63ba8019471674001a3a7456,647f274220bdb9001a2c3aac,2023-07-23,48.61
648046188f903000377b80e6,64804699c6f541252be8c3de,2023-06-23,40.27
648046188f903000377b80e6,6486d802bf840b54bc66c584,2023-06-12,34.31
648046188f903000377b80e6,6486e0cabf840b54bc66c8b8,2023-06-12,38.58
648046188f903000377b80e6,6492b3bad43d0cfaafb8e045,2023-06-28,41.24
62b910c05382d30037ccad4c,64aaa61f81abaa00370a802d,2023-07-11,25.0
63ba8019471674001a3a7456,64b7e69bbb0f2200378c4a67,2023-07-19,44.39
63ba8019471674001a3a7456,64b8e8bed83e78492ec9fa34,2023-08-13,44.67
63ba8019471674001a3a7456,64bcbfa66c7ac3001adc4d15,2023-07-23,44.43
63ba8019471674001a3a7456,64bd16c737a3c6001a0955ff,2023-08-03,40.35
63ba8019471674001a3a7456,64c2783c535fd300255b35a8,2023-07-27,36.11
64d8b9472affbb001a7ba864,64d8e901c9545100379bae23,2023-08-13,45.0
64d8b9472affbb001a7ba864,64d9b49294976f001a1577ee,2023-08-14,40.0
64d8b9472affbb001a7ba864,64d9ee17217f5a0025eb51c7,2023-08-15,38.89
64d8b9472affbb001a7ba864,64da3e8926887f002ccd2859,2023-08-14,44.5
63ba8019471674001a3a7456,64db6713fe61600025d49dff,2023-08-16,46.49
63ba8019471674001a3a7456,64db78422df2e0001aeb473d,2023-09-10,43.64
64d8b9472affbb001a7ba864,64db8bbe9769d500255ffc34,2023-08-15,29.85
64d8ccf354a8ea002c19df14,64dc1f0eb2d79e1e2483db30,2023-08-16,32.32
64d8b9472affbb001a7ba864,64dc4448844dc6001b0f3948,2023-08-16,34.78
64d8b9472affbb001a7ba864,64dca98e35f6020025fa52e2,2023-08-16,45.75
64d8c78f53da290037aca70f,64dcfb33ef121e0068b6cee3,2023-08-16,31.67
64d8b9472affbb001a7ba864,64df58a0efa8f0002ccb30f6,2023-08-18,44.33
64d8ccf354a8ea002c19df14,64e2bff954a8ea002c7b4f1d,2023-08-21,26.28
64d8ccf354a8ea002c19df14,64e2c83a53da2900370f43d0,2023-08-21,25.0
64d8ccf354a8ea002c19df14,64e531737c73b1008dc2abc7,2023-08-22,33.93
64d8ccf354a8ea002c19df14,64e5397d5b6e82001adfc7af,2023-08-22,26.09
64d8ccf354a8ea002c19df14,64e5504c3abe100025ee8697,2023-08-23,29.73
64d8ccf354a8ea002c19df14,64e553bb9ee1bc0025a1bcd2,2023-08-23,25.0
64d8c78f53da290037aca70f,64e554bb9ee1bc0025a1e237,2023-08-23,36.21
64d8ccf354a8ea002c19df14,64e5627fba773200b3e795e8,2023-08-23,38.51
64d8ccf354a8ea002c19df14,64e697456b9663002c5fe205,2023-08-23,37.3
64d8ccf354a8ea002c19df14,64e699a7889052001a46f5f7,2023-08-23,37.84
64d8ccf354a8ea002c19df14,64e69f979e968600374ccb86,2023-08-24,36.99
64d8ccf354a8ea002c19df14,64e6a8e0552004002cb6ae50,2023-08-24,31.25
64d8c78f53da290037aca70f,64e7794d7e357e001acc3c1e,2023-08-24,30.0
64d8ccf354a8ea002c19df14,64e7eca653da2900374cb51b,2023-08-24,33.33
64d8ccf354a8ea002c19df14,64e7ef398cb417001af06b2b,2023-08-25,30.43
63ba8019471674001a3a7456,64eb143fec0b97002c1149bc,2023-08-27,39.44
64d8c78f53da290037aca70f,64f05fef9053c9002c427e11,2023-08-31,27.63
