userid,projectid,date,feasibilityRate,feasibilityScore
62dbf1b2e7277c03b6153ee6,63311cd28511b90025aab89a,2022-09-26,4.21,21.05
62dbf1b2e7277c03b6153ee6,633131ef53a724002ca4bc48,2022-09-29,4.37,21.85
62dbf1b2e7277c03b6153ee6,633662f576273a006dd4ccfe,2022-09-30,3.47,17.35
6296f2aeba256000d93d4ccf,6343df7e958f9901b2b4078a,2022-10-10,2.49,12.45
6296f2aeba256000d93d4ccf,63441309c5a38f00569f438e,2022-10-10,4.49,22.45
62dbf1b2e7277c03b6153ee6,6344bd669de5d901363e34c8,2022-10-11,4.15,20.75
62dbf1b2e7277c03b6153ee6,6344f58599deb20219ad1f48,2022-10-12,0.0,0.0
62dbf1b2e7277c03b6153ee6,634603698c13ab0165dfc842,2022-10-12,6.8,34.0
62dbf1b2e7277c03b6153ee6,63461a687d43d802124f8770,2022-10-12,7.69,38.45
62b860bb629b80033e8a187b,634761379d83f4025a8a22f1,2022-10-13,5.0,25.0
62dbf1b2e7277c03b6153ee6,63477a21e206fa0026541a25,2022-10-13,6.3,31.5
62de387d042c4e03aab35a8b,6347b576dbc6a600371b437e,2022-10-13,2.78,13.9
62dbf1b2e7277c03b6153ee6,6348bffd0a846f001a7541ff,2022-10-14,5.21,26.05
62de387d042c4e03aab35a8b,6348f43fca875c00884045bb,2022-10-14,4.66,23.3
62dbf1b2e7277c03b6153ee6,634cb2c08c887e0259f21ec7,2022-10-17,5.43,27.15
62dbf1b2e7277c03b6153ee6,634cdad80fb54403400c63d3,2022-10-17,6.52,32.6
62dbf1b2e7277c03b6153ee6,634cdbe2436b0d0284dcaf6b,2022-10-19,6.64,33.2
62dbf1b2e7277c03b6153ee6,634f710b35fc4b0290537f60,2022-10-21,6.64,33.2
62b860bb629b80033e8a187b,634f71992f451e0284a3eca0,2022-10-19,1.58,7.9
62de387d042c4e03aab35a8b,6350f0472d9f4104335f5829,2022-10-20,3.12,15.6
62dbf1b2e7277c03b6153ee6,6352012e47a580003716f12d,2022-10-21,1.39,6.95
62dbf1b2e7277c03b6153ee6,63520ecb57de1602efc020e7,2022-10-21,1.14,5.7
62de387d042c4e03aab35a8b,63522cd5dc547400255739e8,2022-10-21,4.39,21.95
62de387d042c4e03aab35a8b,635a27943e979c0352cf2f1b,2022-10-27,2.82,14.1
62de387d042c4e03aab35a8b,6363603ba54af0003729b7dd,2022-11-03,2.77,13.85
62de387d042c4e03aab35a8b,6363659c2b8246006e63adec,2022-11-03,6.28,31.4
62dbf1b2e7277c03b6153ee6,6365d5353cf2a100799ca4e8,2022-11-05,8.49,42.45
62de387d042c4e03aab35a8b,63804a52c2fd850037a48104,2022-11-25,0.0,0.0
62de387d042c4e03aab35a8b,63805426f285cc002c3fa855,2022-11-25,8.43,42.15
62dbf1b2e7277c03b6153ee6,63914e94935620004acec571,2022-12-08,8.51,42.55
62de387d042c4e03aab35a8b,6391853d8ce5ec002c9a5c28,2022-12-08,3.06,15.3
62de387d042c4e03aab35a8b,639abb05450b390025c67ae5,2022-12-15,2.02,10.1
62de387d042c4e03aab35a8b,639ac3a654adcf007a2040ff,2022-12-15,0.0,0.0
62b910c05382d30037ccad4c,63b507193327a80109dfca2e,2023-01-04,2.61,13.05
62b910c05382d30037ccad4c,63b509a7e92a7f009eca81bb,2023-01-04,2.17,10.85
62b910c05382d30037ccad4c,63b63eb0699e80003765b439,2023-01-05,3.19,15.95
62de387d042c4e03aab35a8b,63b7b0b7033213004a402965,2023-01-06,8.13,40.65
62de387d042c4e03aab35a8b,63c0aff880d4fa011ae95c9e,2023-01-19,7.67,38.35
63ba8019471674001a3a7456,63c29339abae280185c6b4e4,2023-02-23,5.28,26.4
63ba8019471674001a3a7456,63c3e453c02d1f003787e727,2023-01-19,4.55,22.75
63ba8019471674001a3a7456,63c4c89dff7c9b017b6eab35,2023-01-16,6.29,31.45
6296f2aeba256000d93d4ccf,63c7e6304d35f2002c11ee8a,2023-01-20,2.15,10.75
62de387d042c4e03aab35a8b,63c8a01b0727280037953698,2023-01-26,1.46,7.3
62de387d042c4e03aab35a8b,63c8a899483f3f0025585123,2023-01-19,0.0,0.0
63ba8019471674001a3a7456,63c92afd1d2c61dbfce89a99,2023-02-15,5.97,29.85
63ba8019471674001a3a7456,63cf96d5c506b3004bfe7209,2023-01-27,4.83,24.15
63ba8019471674001a3a7456,63cfcc83171754004a957486,2023-01-24,4.77,23.85
63ba8019471674001a3a7456,63cfecd97d0ae9002ba27eb2,2023-02-06,5.97,29.85
63ba8019471674001a3a7456,63d3b2240022db005ca4f967,2023-03-05,5.24,26.2
63ba8019471674001a3a7456,63d67cd6f802b90025978467,2023-01-29,3.66,18.3
6296f2aeba256000d93d4ccf,63d885fecc8a80006e1e7713,2023-01-31,3.13,15.65
63ba8019471674001a3a7456,63ea3c0f8e88c60037914acc,2023-02-13,0.0,0.0
62b910c05382d30037ccad4c,63eafbf729168e009283cf17,2023-02-14,3.03,15.15
62b910c05382d30037ccad4c,63eafe065a6f2c0108efbbae,2023-02-14,1.85,9.25
63ba8019471674001a3a7456,63ee2933f8eb8a05cd30bef9,2023-02-23,5.88,29.4
62b910c05382d30037ccad4c,63f16f1f4bb409001a56e45f,2023-02-20,4.68,23.4
62b910c05382d30037ccad4c,63f17718b32bb100257a608c,2023-02-19,1.39,6.95
62b910c05382d30037ccad4c,63f178d41d89000025c43a3f,2023-02-19,2.52,12.6
62b910c05382d30037ccad4c,63f1796324636a003738020e,2023-02-26,4.24,21.2
63ba8019471674001a3a7456,63f21705a3150d00255e119f,2023-02-19,2.08,10.4
63ba8019471674001a3a7456,63f21eba5c19170025c42f64,2023-02-19,3.09,15.45
62b910c05382d30037ccad4c,63f2dfc29d934900379eafa2,2023-02-20,4.39,21.95
62de387d042c4e03aab35a8b,63f44e8f2412e900253203d4,2023-02-21,2.5,12.5
62de387d042c4e03aab35a8b,63f6c77784620a002ceb35e5,2023-02-23,4.43,22.15
62de387d042c4e03aab35a8b,63f893e9cb78fa002ca54587,2023-02-24,5.35,26.75
62de387d042c4e03aab35a8b,63f89cced0da66001a2d0761,2023-02-24,5.37,26.85
62b910c05382d30037ccad4c,63faafebf51ca8004aeb279a,2023-02-26,1.07,5.35
62de387d042c4e03aab35a8b,63fd89ee74fccd00373c2c78,2023-03-01,6.84,34.2
63ba8019471674001a3a7456,63ff4b61dbb594004a20fcc4,2023-03-06,5.99,29.95
62de387d042c4e03aab35a8b,6401d936b838f9007af8b664,2023-03-10,5.15,25.75
63ba8019471674001a3a7456,6405e344666510001a4d463a,2023-03-06,5.99,29.95
63ba8019471674001a3a7456,6406e41dd0e513259230264c,2023-03-20,6.53,32.65
63ba8019471674001a3a7456,64180d0fc19139005005ed7e,2023-03-20,6.53,32.65
63ba8019471674001a3a7456,64184fe5727f7800fd64e627,2023-03-22,6.45,32.25
63ba8019471674001a3a7456,641b00615da36901f0507389,2023-03-22,4.4,22.0
63ba8019471674001a3a7456,641c4a1bf2adc61e256c7b31,2023-03-28,6.58,32.9
63ba8019471674001a3a7456,6429715f64991e004b2b9915,2023-04-02,6.46,32.3
63ba8019471674001a3a7456,6429886cbfeba2007b9b852d,2023-05-26,6.98,34.9
62de387d042c4e03aab35a8b,644139e2f76a79001abfcbee,2023-04-20,7.1,35.5
62dbf1b2e7277c03b6153ee6,644b17a875600b002ce88a55,2023-04-28,0.0,0.0
62b910c05382d30037ccad4c,645a05fae15bd90074ee379c,2023-05-09,2.17,10.85
63ba8019471674001a3a7456,647347891603b1001ae5e1d1,2023-07-19,5.8,29.0
63ba8019471674001a3a7456,647f274220bdb9001a2c3aac,2023-07-23,9.83,49.15
648046188f903000377b80e6,64804699c6f541252be8c3de,2023-06-23,5.38,26.9
648046188f903000377b80e6,6486d802bf840b54bc66c584,2023-06-12,3.44,17.2
648046188f903000377b80e6,6486e0cabf840b54bc66c8b8,2023-06-12,4.5,22.5
648046188f903000377b80e6,6492b3bad43d0cfaafb8e045,2023-06-28,4.33,21.65
62b910c05382d30037ccad4c,64aaa61f81abaa00370a802d,2023-07-11,0.0,0.0
63ba8019471674001a3a7456,64b7e69bbb0f2200378c4a67,2023-07-19,5.8,29.0
63ba8019471674001a3a7456,64b8e8bed83e78492ec9fa34,2023-08-13,5.76,28.8
63ba8019471674001a3a7456,64bcbfa66c7ac3001adc4d15,2023-07-23,5.82,29.1
63ba8019471674001a3a7456,64bd16c737a3c6001a0955ff,2023-08-03,5.25,26.25
63ba8019471674001a3a7456,64c2783c535fd300255b35a8,2023-07-27,2.78,13.9
64d8b9472affbb001a7ba864,64d8e901c9545100379bae23,2023-08-13,8.67,43.35
64d8b9472affbb001a7ba864,64d9b49294976f001a1577ee,2023-08-14,5.95,29.75
64d8b9472affbb001a7ba864,64d9ee17217f5a0025eb51c7,2023-08-15,5.55,27.75
64d8b9472affbb001a7ba864,64da3e8926887f002ccd2859,2023-08-14,7.18,35.9
63ba8019471674001a3a7456,64db6713fe61600025d49dff,2023-08-16,6.38,31.9
63ba8019471674001a3a7456,64db78422df2e0001aeb473d,2023-09-10,5.64,28.2
64d8b9472affbb001a7ba864,64db8bbe9769d500255ffc34,2023-08-15,2.81,14.05
64d8ccf354a8ea002c19df14,64dc1f0eb2d79e1e2483db30,2023-08-16,2.42,12.1
64d8b9472affbb001a7ba864,64dc4448844dc6001b0f3948,2023-08-16,2.53,12.65
64d8b9472affbb001a7ba864,64dca98e35f6020025fa52e2,2023-08-16,7.63,38.15
64d8c78f53da290037aca70f,64dcfb33ef121e0068b6cee3,2023-08-16,2.94,14.7
64d8b9472affbb001a7ba864,64df58a0efa8f0002ccb30f6,2023-08-18,7.66,38.3
64d8ccf354a8ea002c19df14,64e2bff954a8ea002c7b4f1d,2023-08-21,1.12,5.6
64d8ccf354a8ea002c19df14,64e2c83a53da2900370f43d0,2023-08-21,3.69,18.45
64d8ccf354a8ea002c19df14,64e531737c73b1008dc2abc7,2023-08-22,3.43,17.15
64d8ccf354a8ea002c19df14,64e5397d5b6e82001adfc7af,2023-08-22,0.48,2.4
64d8ccf354a8ea002c19df14,64e5504c3abe100025ee8697,2023-08-23,2.08,10.4
64d8ccf354a8ea002c19df14,64e553bb9ee1bc0025a1bcd2,2023-08-23,3.0,15.0
64d8c78f53da290037aca70f,64e554bb9ee1bc0025a1e237,2023-08-23,3.99,19.95
64d8ccf354a8ea002c19df14,64e5627fba773200b3e795e8,2023-08-23,3.59,17.95
64d8ccf354a8ea002c19df14,64e697456b9663002c5fe205,2023-08-23,5.26,26.3
64d8ccf354a8ea002c19df14,64e699a7889052001a46f5f7,2023-08-23,3.59,17.95
64d8ccf354a8ea002c19df14,64e69f979e968600374ccb86,2023-08-24,4.38,21.9
64d8ccf354a8ea002c19df14,64e6a8e0552004002cb6ae50,2023-08-24,1.56,7.8
64d8c78f53da290037aca70f,64e7794d7e357e001acc3c1e,2023-08-24,2.2,11.0
64d8ccf354a8ea002c19df14,64e7eca653da2900374cb51b,2023-08-24,1.39,6.95
64d8ccf354a8ea002c19df14,64e7ef398cb417001af06b2b,2023-08-25,1.09,5.45
63ba8019471674001a3a7456,64eb143fec0b97002c1149bc,2023-08-27,4.74,23.7
64d8c78f53da290037aca70f,64f05fef9053c9002c427e11,2023-08-31,1.66,8.3
